name,brewery_type,address,state,phone,website_url,country,region,division,longitude,latitude
14er Brewing Company,proprietor,2801 Walnut St Denver Colorado 80205-2235,Colorado,7207731437,http://www.14erBrewing.com,United States,West,Mountain,-104.9839636,39.761411200000005
16 Lots Brewing,brewpub,753 Reading Rd Mason Ohio 45040-1303,Ohio,5134863672,http://www.16lots.com,United States,Midwest,East North Central,-84.3183801,39.3545967
16 Mile Brewing Co,micro,413 S Bedford St Georgetown Delaware 19947-1849,Delaware,3022538816,http://www.16milebrewery.com,United States,South,South Atlantic,-75.37816436,38.6788938
16 Stone Brewpub,brewpub,9542 Main St Holland Patent New York 13354,New York,3158658500,http://www.16stonebrewpub.com,United States,Northeast,Middle Atlantic,-75.2565195,43.24211175
1718 Ocracoke Brewing,brewpub,1129 Irvin Garrish Hwy Ocracoke North Carolina 27960,North Carolina,2529282337,http://www.ocracokebrewing.com,United States,South,South Atlantic,-75.97176063,35.10715368
180 and Tapped,micro,2010 A State Ave Coraopolis Pennsylvania 15108,Pennsylvania,4127375273,http://www.180andtapped.com,United States,Northeast,Middle Atlantic,-80.15020356,40.50984957
1817 Brewery,micro,100 B South Olive St okolona Mississippi 38860,Mississippi,6623055907,Not Available,United States,South,East South Central,-88.750264,34.001703000000006
1840 Brewing Company,micro,342 E Ward St Milwaukee Wisconsin 53207-1348,Wisconsin,4142364056,http://www.1840brewing.com,United States,Midwest,East North Central,-87.90606942,43.00436242
1850 Brewing Company,micro,Not Available Mariposa California 95338,California,Not Available,http://www.1850restaurant.com,United States,West,Pacific,-119.90365919999999,37.570147999999996
18th Street Brewery,micro,5725 Miller Ave Gary Indiana 46403-2871,Indiana,Not Available,http://www.18thstreetbrewery.com,United States,Midwest,East North Central,-87.26887786,41.59928343
18th Street Brewery,micro,5417 Oakley Ave Hammond Indiana 46320-1817,Indiana,Not Available,Not Available,United States,Midwest,East North Central,-87.517422,41.61556796
1905 Brewing Company,micro,1301 S Chestnut St Assumption Illinois 62510-8504,Illinois,2172549374,http://1905BrewingCompany.com,United States,Midwest,East North Central,-89.0503635,39.5172564
1912 Brewing,micro,2045 N Forbes Blvd Ste 105 Tucson Arizona 85745-1444,Arizona,5202564851,http://www.1912brewing.com,United States,West,Mountain,-110.99275049999999,32.24673727
192 Brewing,micro,7324 NE 175th St Kenmore Washington 98028-2500,Washington,4254242337,http://www.192brewing.com,United States,West,Pacific,-122.2415652,47.75670075
2 Basset Brewery,micro,202 E Main St White Sulphur Springs Montana 59645-9081,Montana,4065472337,http://www.2bassetbrewery.com,United States,West,Mountain,-110.9004865,46.54807609
2 Dogz and A Guy Brewing,micro,228 Church St Montrose Pennsylvania 18801-1271,Pennsylvania,5704320069,http://2dogzandaguybrewing.com,United States,Northeast,Middle Atlantic,-75.8800318,41.8336364
2 Feet Brewing Company,brewpub,80 Columbia St Bangor Maine 04401-6319,Maine,2075731979,http://www.2feetbrewing.com,United States,Northeast,New England,-68.77283099,44.80012684
2 Row Brewing,micro,6856 S 300 W Midvale Utah 84047-1083,Utah,8019878663,http://www.2rowbrewing.com,United States,West,Mountain,-111.9007652,40.59502020000001
2 Tones Brewing Co.,micro,4539 E Broad St Whitehall Ohio 43213-1308,Ohio,Not Available,http://www.2tonesbrewingco.com,United States,Midwest,East North Central,-82.91181740000002,40.0030689
2 Tread Brewing Co,brewpub,1018 Santa Rosa Plz Santa Rosa California 95401-6399,California,4152330857,http://www.2treadbrewing.com,United States,West,Pacific,-122.71677290000001,38.438776700000005
2 Way Brewing Company,brewpub,18 W Main St Beacon New York 12508-2512,New York,8452027334,http://www.2waybrewingcompany.com,United States,Northeast,Middle Atlantic,-73.9809868,41.5082102
2 Witches Winery and Brewing Company,micro,209 Trade St Danville Virginia 24541-3545,Virginia,4345492739,http://www.2witcheswinebrew.com,United States,South,South Atlantic,-79.42125553,36.58590349
210 Brewing Co,brewpub,3438 Stoluckquamish Ln Arlington Washington 98223-9056,Washington,3604749740,http://www.angelofthewind.com,United States,West,Pacific,-122.18421000000001,48.215096
217 Brew Works,micro,217 South St S Wilson North Carolina 27893-4911,North Carolina,2529916959,Not Available,United States,South,South Atlantic,-77.9120318,35.7227625
21st Amendment Brewery Cafe,brewpub,563 2nd St San Francisco California 94107-1411,California,4153690900,http://www.21st-amendment.com,United States,West,Pacific,-122.39257690000001,37.782447999999995
21st St Brewers Bar,brewpub,2017 Chouteau Ave Saint Louis Missouri 63103,Missouri,3142416969,http://www.21stbrew.com,United States,Midwest,West North Central,-90.21378100000001,38.624291
23rd Street Brewery,brewpub,3512 Clinton Pkwy Lawrence Kansas 66047-2145,Kansas,7858562337,http://www.brew23.com,United States,Midwest,West North Central,-95.28093353,38.9429674
26 Degree Brewing Company,micro,2600 E Atlantic Blvd Pompano Beach Florida 33062-4940,Florida,9545326964,Not Available,United States,South,South Atlantic,-80.1224169,26.231633799999997
2C Family Brewing Co.,micro,1215 1st St S Nampa Idaho 83651-3957,Idaho,2084753981,Not Available,United States,West,Mountain,-116.55928200000001,43.578989
2Kids Brewing Company,micro,8680 Miralani Dr Ste 123 San Diego California 92126-6391,California,8584805437,http://www.2kidsBrewing.com,United States,West,Pacific,-117.137429,32.896584000000004
2nd Shift Brewing Co,brewpub,1601 Sublette Ave Saint Louis Missouri 63110-1924,Missouri,6187910728,http://www.2ndshiftbrewing.com,United States,Midwest,West North Central,-90.280526,38.621943
3 Beards Beer Company,contract,4 Main St Williamsburg Massachusetts 1096,Massachusetts,6173837039,http://www.3beardsbeer.com,United States,Northeast,New England,-72.7305059,42.3923659
3 Daughters Brewing,micro,222 22nd St S Saint Petersburg Florida 33712-1240,Florida,7274956002,http://www.3dbrewing.com,United States,South,South Atlantic,-82.66297209999999,27.76899022
3 Disciples Brewing,micro,Not Available Sebastopol California 95472-5937,California,7072287309,http://www.3disciplesbrewing.com/home,United States,West,Pacific,-122.83325020000001,38.3845125
3 Freaks Brewing Co,micro,7140 E County Line Rd Highlands Ranch Colorado 80126-3926,Colorado,7202990994,http://www.3freaksbrewery.com,United States,West,Mountain,-104.9426656,39.5659575
"3 Keys Brewing Company, LLC",brewpub,2505 Manatee Ave E Bradenton Florida 34208-2421,Florida,9412180396,http://www.3keysbrewing.com,United States,South,South Atlantic,-82.53393502,27.49645026
3 Nations Brewing,micro,2405 Squire Pl Ste 200 Farmers Branch Texas 75234-4714,Texas,4696607184,http://www.threenationsbrewing.com,United States,South,West South Central,-96.89883128,32.93044336
3 Sheeps Brewing Co,micro,1837 North Ave Sheboygan Wisconsin 53083-4620,Wisconsin,9209469715,http://www.3sheepsbrewing.com,United States,Midwest,East North Central,-87.73006524,43.77384561
3 Sons Brewing Co.,proprietor,236 N Federal Hwy Dania Florida 33004-2870,Florida,9546013833,http://www.3sonsbrewingco.com,United States,South,South Atlantic,-80.14361029,26.04800238
3 Trails Brewing Co,micro,111 N Main St  Independence Missouri 64050,Missouri,8168866256,http://www.3trailsbrewing.com,United States,Midwest,West North Central,-94.41265,39.122384999999994
34 Degree North Experiment Station,micro,4802 Main St Shallotte North Carolina 28470,North Carolina,Not Available,Not Available,United States,South,South Atlantic,-78.38636517,33.97270364
350 Brewing Co,brewpub,7144 183rd St Tinley Park Illinois 60477-3933,Illinois,7088257339,http://www.350brewing.com,United States,Midwest,East North Central,-87.79160288,41.55864726
38Â°-75Â° Brewing,brewpub,2000 Coastal Highway STE 105 Rehoboth Beach Delaware 19971,Delaware,3022278519,Not Available,United States,South,South Atlantic,-75.090191,38.7074994
3cross Fermentation Cooperative,micro,4 Knowlton Ave Worcester Massachusetts 1603,Massachusetts,5086158195,http://www.3cross.coop,United States,Northeast,New England,-71.83057593,42.24364875
3Halves Brewing Co,brewpub,110 E Kansas St Liberty Missouri 64068-2374,Missouri,8164296886,http://www.3halvesbrewingco.com,United States,Midwest,West North Central,-94.4190247,39.246199299999994
3rd Degree Brewhouse,micro,1625 N Main St Fuquay Varina North Carolina 27526,North Carolina,9192015457,http://www.facebook.com/3rddegreebrewhouse/,United States,South,South Atlantic,-78.794223,35.5914556
3rd Rock Brewing Company,micro,134 Industrial Park Dr Trenton North Carolina 28585-9593,North Carolina,2526319213,http://www.3rockbrew.com,United States,South,South Atlantic,-77.36749285,35.06939877
3rd Turn Brewing,micro,10408 Watterson Trl Louisville Kentucky 40299-3702,Kentucky,Not Available,http://www.3rdturnbrewing.com,United States,South,East South Central,-85.56656078,38.19322725
4 By 4 Brewing Company,micro,2811 E Galloway St Ste A Springfield Missouri 65804-4601,Missouri,4178616400,http://www.4by4brewingcompany.com,United States,Midwest,West North Central,-93.239889,37.147985999999996
4 Hands Brewing Co,regional,1220 S 8th St Saint Louis Missouri 63104-3610,Missouri,3144361559,http://www.4handsbrewery.com,United States,Midwest,West North Central,-90.19762012,38.61526593
(405) Brewing Co,micro,1716 Topeka St Norman Oklahoma 73069-8224,Oklahoma,4058160490,http://www.405brewing.com,United States,South,West South Central,-97.46818222,35.25738891
411 Broadway Ales,planning,Not Available Fresno California 93721-2801,California,5412706076,Not Available,United States,West,Pacific,-119.7088613,36.7295295
42 North Brewing Company,brewpub,25 Pine St East Aurora New York 14052-1827,New York,7168057500,http://www.42northbrewing.com,United States,Northeast,Middle Atlantic,-78.607989,42.769311
4204 Main Street Brewing Co,brewpub,4204 W Main St Belleville Illinois 62226,Illinois,6184167261,Not Available,United States,Midwest,East North Central,-90.02053343,38.53796122
47 Hills Brewing Co,brewpub,137 S Linden Ave South San Francisco California 94080-6410,California,6508678476,http://47hillsbrewingcompany.com,United States,West,Pacific,-122.4136168,37.64425595
49th State Brewing Co - Anchorage,brewpub,717 W 3rd Ave Anchorage Alaska 99501-2104,Alaska,9076832739,http://www.49statebrewing.com/,United States,West,Pacific,-149.8958196,61.219736600000005
49th State Brewing Co,micro,248.4 Parks Hwy 5 Mile Healy Alaska 99743,Alaska,9076832739,https://www.49statebrewing.com/denali,United States,West,Pacific,-149.017877,63.864759
4B's Brewery,brewpub,215 W Main St Cedaredge Colorado 81413-3339,Colorado,9708567762,http://www.4bsbrewery.com,United States,West,Mountain,-107.92578200000001,38.900614000000004
4kd Crick Brewery,brewpub,211 Carpenter Rd Defiance Ohio 43512-1718,Ohio,4199562863,http://Www.4kdcrickbrewery.com,United States,Midwest,East North Central,-84.341647,41.296252
4th Tap Brewing Cooperative,micro,10615 Metric Blvd Austin Texas 78758-4520,Texas,5129089817,Not Available,United States,South,West South Central,-97.71189129999999,30.385202399999997
5 Alarm Brewing Co,micro,211 W Main St Lake Mills Iowa 50450,Iowa,6415922739,Not Available,United States,Midwest,West North Central,-93.53398788,43.41926615
5 Lakes Brewing Co.,brewpub,1638 142nd Ave Dorr Michigan 49323-9312,Michigan,6163599555,http://www.5lakesbrewing.com,United States,Midwest,East North Central,-85.70445518,42.72497157
5 Rabbit Cerveceria Inc,micro,6398 W 74th St Chicago Illinois 60638-6129,Illinois,3128959591,http://www.5rabbitbrewery.com,United States,Midwest,East North Central,-87.6572069,41.75955020000001
5 Rights Brewing Co,micro,7028 46th St NE Marysville Washington 98270-6989,Washington,4253341026,http://www.5rightsbrewing.com,United States,West,Pacific,-122.136104,48.037428999999996
5 Rivers Brewing LLC,planning,Not Available Spanish Fort Alabama 36527-3161,Alabama,2516897483,http://5riversbrewing.com,United States,South,East South Central,-87.9152724,30.674912699999997
5 Seasons Brewing Co - Prado,brewpub,5600 Roswell Rd Sandy Springs Georgia 30342-1150,Georgia,4042555911,http://www.5seasonsbrewing.com,United States,South,South Atlantic,-84.3796711,33.9078086
5 Stones Artisan Brewery,micro,11335 Farm To Market Road 1863 New Braunfels Texas 78132,Texas,2103808215,Not Available,United States,South,West South Central,-98.232345,29.711365
515 Brewing Co,micro,7700 University Ave Clive Iowa 50325-1271,Iowa,5156614615,http://www.515brewing.com,United States,Midwest,West North Central,-93.7228408,41.599992
5150 Brewing At The Brass Tap Rocklin,micro,5150 Commons Dr Ste 101 Rocklin California 95677-3925,California,9162462729,http://www.brasstaprocklin.com,United States,West,Pacific,-121.20733100000001,38.8047402
51st State Brewing Company,brewpub,115 Harding Ave Kingsford Michigan 49802-3815,Michigan,9068282167,http://www.51ststatebrewingcompany.com,United States,Midwest,East North Central,-88.08819,45.808408
51st Ward Beer Company,contract,323 N Washington St Westmont Illinois 60559-1512,Illinois,7732205899,Not Available,United States,Midwest,East North Central,-87.981157,41.804494
550 Brewing,proprietor,119 E Chuska St Aztec New Mexico 87410-2110,New Mexico,5054861094,http://Www.550brew.com,United States,West,Mountain,-107.99502350000002,36.8213739
559 Local Brewing,micro,608 4th St Clovis California 93612-1183,California,5594731875,http://www.fresnobrewingcompany.com,United States,West,Pacific,-119.7017487,36.82517171
5770 Brewery,micro,303A W Main St Teutopolis Illinois 62467-1355,Illinois,6183397841,http://www.5770brewery.com,United States,Midwest,East North Central,-88.47806652,39.13142194
6 & 40 Brewery/Taproom,planning,Not Available Lakewood Colorado 80215-5548,Colorado,3032325347,http://www.tomsbrewshop.com,United States,West,Mountain,-105.1100582,39.6311085
6 Degrees of Separation,brewpub,35 Main St Ossining New York 10562-4662,New York,9144325969,http://www.6degreesbp.com,United States,Northeast,Middle Atlantic,-73.86768188,41.15866213
612 Brew,micro,945 Broadway St NE Minneapolis Minnesota 55413-1471,Minnesota,6129648939,http://www.612brew.com,United States,Midwest,West North Central,-93.20620579999999,45.000631
6th and La Brea,brewpub,600 South La Brea Ave Los Angeles California 90036,California,Not Available,http://www.6thlabrea.com,United States,West,Pacific,-118.3440213,34.0730485
7 Devils Brewing Co,brewpub,247 S 2nd St Coos Bay Oregon 97420-1642,Oregon,5418083738,http://www.7devilsbrewery.com,United States,West,Pacific,-124.21475079999999,43.36654751
7 Hills Brewing Company,brewpub,1085 Washington St Dubuque Iowa 52001-4932,Iowa,5635878306,http://www.7hillsbrew.com,United States,Midwest,West North Central,-90.66352629999999,42.5045556
7 Seas Brewing Co,micro,2101 Jefferson Ave Tacoma Washington 98402-1519,Washington,2535727771,http://www.7seasbrewing.com,United States,West,Pacific,-122.4390379,47.242614
7 Sins Brewery,micro,10593 W Main Rd Ripley New York 14775-9746,New York,7165812090,http://www.7sinsbrewery.com,United States,Northeast,Middle Atlantic,-79.7497349,42.24869073
7 Sisters Brewing Co,brewpub,181 Tank Farm Rd Ste 110 San Luis Obispo California 93401-7082,California,8058687133,http://www.7sistersbrewing.com,United States,West,Pacific,-120.6706375,35.2467278
"718BrewCafe, LLP",brewpub,718 Market St Metropolis Illinois 62960-1634,Illinois,6185247180,http://www.718BrewCafe.com,United States,Midwest,East North Central,-88.73129158,37.15373334
734 Brewing Company,micro,15 E Cross St Ypsilanti Michigan 48198,Michigan,7346496453,Not Available,United States,Midwest,East North Central,-83.61103475,42.24586784
7th Settlement Brewery,brewpub,47 Washington St Dover New Hampshire 03820-3877,New Hampshire,6033731001,http://www.7thsettlement.com,United States,Northeast,New England,-70.87283790000001,43.1953787
7venth Sun Tampa,micro,6809 N Nebraska Ave Tampa Florida 33604-5660,Florida,8132315900,Not Available,United States,South,South Atlantic,-82.45002070000001,27.9495902
841 Brewhouse,brewpub,841 E Milwaukee St Whitewater Wisconsin 53190-2126,Wisconsin,2624738000,Not Available,United States,Midwest,East North Central,-88.71427344,42.8323014
8one8 Brewing Company,micro,8951 de Soto Ave Canoga Park California 91304-5901,California,8188352286,http://www.818brewing.com,United States,West,Pacific,-118.58853229999998,34.221801899999996
8th Street Ale Haus,brewpub,1132 N 8th St Sheboygan Wisconsin 53081-3402,Wisconsin,9202087540,http://www.sheboyganalehaus.com,United States,Midwest,East North Central,-87.71305702,43.75674392
8th Wonder Brewery,micro,2202 Dallas St Houston Texas 77003-3519,Texas,7133970072,http://www.8thwonderbrew.com,United States,South,West South Central,-95.3559402,29.748778299999998
903 Brewers,micro,1718 S Elm St Sherman Texas 75090-8725,Texas,2142438090,http://www.903brewers.com,United States,South,West South Central,-96.60698055,33.61788732
927 Beer Company,micro,821 Cornwall St Cambria California 93428-2434,California,8052035265,http://www.cambriabeerco.com,United States,West,Pacific,-121.09854080000001,35.566672499999996
95ate5 Brewpub,brewpub,9585 N Industrial Dr Saint John Indiana 46373,Indiana,2193656506,http://www.95ate5.com,United States,Midwest,East North Central,-87.46380305,41.44400246
Aardwolf Brewing Company,micro,1461 Hendricks Ave Jacksonville Florida 32207-8622,Florida,9043010755,http://www.aardwolfbrewing.com,United States,South,South Atlantic,-81.65451970000001,30.3108962
Abbey Brewing Co,contract,1115 16th St Miami Beach Florida 33139-2441,Florida,3055388110,Not Available,United States,South,South Atlantic,-80.1402943,25.789038100000003
"Abbey Brewing Company, LLC",micro,215 W. Alicante Rd Santa Fe New Mexico 87505,New Mexico,5056706802,http://www.abbeybrewing.biz,United States,West,Mountain,-105.9465207,35.66555826
Aberrant Ales,brewpub,219 W Grand River Ave Howell Michigan 48843,Michigan,5175188699,http://www.aberrantales.com,United States,Midwest,East North Central,-83.93094539,42.60773722
Abide Brewing Company,micro,110 Werz Industrial Blvd Ste 130 Newnan Georgia 30263-5802,Georgia,6789726747,http://www.abidebrewing.com,United States,South,South Atlantic,-84.76356641,33.40257035
Abigaile,brewpub,1301 Manhattan Ave Hermosa Beach California 90254-3666,California,3107988227,http://abigailrestaurant.com,United States,West,Pacific,-118.4048656,33.8734519
Able Ebenezer Brewing Company,micro,31 Columbia Cir Merrimack New Hampshire 03054-4161,New Hampshire,8442232253,http://www.ableebenezer.com,United States,Northeast,New England,-71.493705,42.851742
Able Seedhouse and Brewery,micro,1121 Quincy St NE Minneapolis Minnesota 55413-2773,Minnesota,6124054642,http://www.ablebeer.com,United States,Midwest,West North Central,-93.2510686,44.9993934
Abnormal Beer Company,micro,16990 Via Tazon Ste 123 San Diego California 92127-1649,California,8586182463,http://abnormalbeer.co,United States,West,Pacific,-117.08575,33.02391
Abolitionist Ale Works,brewpub,129 W Washington St Charles Town West Virginia 25414-1529,West Virginia,6812521548,http://www.abolitionistaleworks.com,United States,South,South Atlantic,-77.8607888,39.28867207
Abridged Beer Company,brewpub,100 Lockett Rd Knoxville Tennessee 37919-4807,Tennessee,8658989438,http://www.abridgedbeer.com,United States,South,East South Central,-84.016459,35.932287
Absolution Brewing Co,micro,2878 Columbia St Torrance California 90503-3808,California,3104904860,http://www.absolutionbrewingcompany.com,United States,West,Pacific,-118.3378601,33.8431391
Absolution By the Sea,brewpub,7536 Fay Ave La Jolla California 92037-4839,California,6192024152,Not Available,United States,West,Pacific,-117.27401670000002,32.84083388
Accomplice Beer Company,brewpub,115 W 15th St Cheyenne Wyoming 82001-4564,Wyoming,3076322337,http://www.accomplicebeer.com,United States,West,Mountain,-104.819296,41.130063
Acidulous Brewing Company,contract,6712 S Independence St Littleton Colorado 80128-4046,Colorado,3039952895,Not Available,United States,West,Mountain,-105.10595430000001,39.53839489999999
Acopon Brewing Co,micro,211 W Mercer St Dripping Springs Texas 78620-5363,Texas,5128294723,http://www.acoponbrewing.com,United States,South,West South Central,-98.09006208,30.19269957
"Actual Brewing Company, LLC",micro,655 N James Rd Columbus Ohio 43219-1837,Ohio,6146363825,http://wwww.actualbeer.com,United States,Midwest,East North Central,-82.90809859999999,39.986852299999995
Adam's Northwest Bistro / Twin Rivers Brewing,brewpub,104 N Lewis St Monroe Washington 98272-1502,Washington,3607944056,http://www.adamsnwbistro.com,United States,West,Pacific,-121.970887,47.85588471
Adelbert's Brewery LLC,micro,2314 Rutland Dr Ste 100 Austin Texas 78758-5273,Texas,5126621462,http://www.adelbertsbeer.com,United States,South,West South Central,-97.7201589,30.382628600000004
Adirondack Pub and Brewery,micro,33 Canada St Lake George New York 12845-1603,New York,5186680002,http://www.adkpub.com,United States,Northeast,Middle Atlantic,-73.71407763,43.41850655
Adirondack Toboggan Company Microbrewery,micro,202A W Main St Gouverneur New York 13642-1334,New York,3157716313,http://www.adktoboggan.net,United States,Northeast,Middle Atlantic,-75.47489238,44.33237311
AdMerk Corp. Inc.,contract,20 F St NW Washington District of Columbia 20001-6700,District of Columbia,6172028069,http://www.paugustin.com,United States,South,South Atlantic,-77.00942049999999,38.89742205
Aero Craft Brewing,planning,Not Available Denver Colorado 80212-2199,Colorado,3039185446,http://www.aerocraft.beer,United States,West,Mountain,-104.984696,39.739142799999996
Aero Plains Brewing,micro,117 N Handley St Wichita Kansas 67203-6114,Kansas,3164482811,http://www.aeroplainsbrewing.com,United States,Midwest,West North Central,-97.35071131,37.68455054
Aeronaut Brewing Company,micro,14 Tyler St Somerville Massachusetts 02143-3224,Massachusetts,6179874236,http://www.aeronautbrewing.com,United States,Northeast,New England,-71.1062676,42.3819723
Aftershock Brewing Co,micro,28822 Old Town Front St Ste 107 Temecula California 92590-2893,California,9519722256,http://www.aftershockbrewingco.com,United States,West,Pacific,-117.14853059999999,33.49310382
Afterthought Brewing Company,micro,844 N Ridge Ave Lombard Illinois 60148-1215,Illinois,6303011615,http://afterthoughtbrewing.com,United States,Midwest,East North Central,-88.02234574,41.90549742
Against the Grain Brewery,micro,401 E Main St Louisville Kentucky 40202-1110,Kentucky,5025150174,http://atgbrewery.com,United States,South,East South Central,-85.74403769999999,38.2554568
Against the Grain Production Facility,micro,1800 Northwestern Pkwy Louisville Kentucky 40203,Kentucky,Not Available,Not Available,United States,South,East South Central,-85.7767241,38.265875799999996
Aigean Ales,micro,250 Commercial St Ste 2001 Manchester New Hampshire 03101-1165,New Hampshire,6035188550,Not Available,United States,Northeast,New England,-71.46899187,42.9899594
Aiken Brewing Co,brewpub,140 Laurens St SW Aiken South Carolina 29801-3848,South Carolina,8035020707,http://www.aikenbrewingcompany.com,United States,South,South Atlantic,-81.7228141,33.5603084
Airline Brewing Company,micro,22 Mill Ln Amherst Maine 4428,Maine,2075842337,http://www.abcmaine.beer,United States,Northeast,New England,-68.3677435,44.83294620000001
Airways Brewing Co. Bistro & Beer Garden,brewpub,320 W Harrison St Kent Washington 98032,Washington,2532368632,http://airwaysbrewing.com/bistro-beer-garden/,United States,West,Pacific,-122.235649,47.382498
Airways Brewing Co,micro,8611 S 212th St Kent Washington 98031-1910,Washington,2532001707,http://www.airwaysbrewing.com,United States,West,Pacific,-122.23910259999998,47.4119802
Akademia Brewing Company,brewpub,150 Crane Dr Athens Georgia 30606-0600,Georgia,7064613208,http://www.AkademiaBC.com,United States,South,South Atlantic,-83.47153754,33.94270289
Akronym Brewing LLC,micro,58 E Market St Akron Ohio 4430,Ohio,3306208274,http://www.akronymbrewing.com,United States,Midwest,East North Central,-81.51645882,41.08512193
Alameda Brewing Co,micro,4736 SE 24th Ave Portland Oregon 97202-4787,Oregon,5034609025,Not Available,United States,West,Pacific,-122.64124950000001,45.48882655
Alameda Brewing Co,micro,4765 NE Fremont St Portland Oregon 97213-1724,Oregon,5034609025,http://www.alamedabrewing.com,United States,West,Pacific,-122.6136209,45.54849565
Alameda Island Brewing Company,micro,1716 Park St Alameda California 94501-1416,California,5102178885,http://www.alamedaislandbrewingcompany.com,United States,West,Pacific,-122.23945060000001,37.76833631
Alamo Beer Co,micro,415 Burnet St San Antonio Texas 78202-1909,Texas,2108725589,http://www.alamobeer.com,United States,South,West South Central,-98.47716379999999,29.42902321
Alaro Craft Brewery,brewpub,2004 Capitol Ave Sacramento California 95811,California,9164367711,http://www.alarobrewing.com,United States,West,Pacific,-121.4811835,38.57323961
Alaskan Brewing Co.,regional,5429 Shaune Dr Juneau Alaska 99801-9540,Alaska,9077805866,http://www.alaskanbeer.com,United States,West,Pacific,-134.4918763,58.35681231
Albia Brewing Co,brewpub,11 Benton Ave E Albia Iowa 52531-2032,Iowa,6419324085,http://www.albiabrewingcompany.blogspot.com,United States,Midwest,West North Central,-92.80737109999998,41.02718903
Albion Malleable Brewing Company,brewpub,420 S Superior St Albion Michigan 49224,Michigan,5173432202,http://www.albionmalleable.com,United States,Midwest,East North Central,-84.7532755,42.2423188
Alcatraz Brewing,micro,20 Ocean Vista Ln Palm Coast Florida 32137-2743,Florida,3866278909,http://www.alcatraz.beer,United States,South,South Atlantic,-81.19287028,29.61781196
Aldus Brewing Company,micro,555 Centennial Ave Hanover Pennsylvania 17331-3936,Pennsylvania,7176342407,http://www.aldusbrewing.com,United States,Northeast,Middle Atlantic,-76.98030009,39.79422185
Ale Asylum,regional,2002 Pankratz St Madison Wisconsin 53704-4024,Wisconsin,6086633926,http://www.aleasylum.com,United States,Midwest,East North Central,-89.35416285,43.12046815
Ale House Brewing Co,micro,Not Available San Jose California 95118-1605,California,4083907574,Not Available,United States,West,Pacific,-121.89058329999999,37.3361905
Ale Industries,micro,3096 E 10th St Oakland California 94601-2960,California,9254705280,http://www.aleindustries.com,United States,West,Pacific,-122.22818970000002,37.7761111
